Country,Domain,InSample_MAE,OutSample_MAE,InSample_MAPE,OutSample_MAPE
United States,District of Columbia,328.4755859375,898.0504760742188,36.333797454833984,12.274439811706543
United States,Kansas,506.400390625,969.004638671875,35.1578369140625,12.03764820098877
United States,Missouri,407.0315856933594,2729.86181640625,15.421793937683105,23.408905029296875
United States,Vermont,450.75152587890625,353.83233642578125,81.52503967285156,37.137447357177734
United States,Virginia,289.5626525878906,7533.27490234375,22.231945037841797,22.078964233398438
United States,Connecticut,517.6923217773438,6512.69189453125,23.436168670654297,17.169607162475586
United States,Iowa,454.6902160644531,2797.9912109375,48.51894760131836,16.823715209960938
United States,Louisiana,712.4747314453125,4442.51123046875,19.63017463684082,13.030200958251953
United States,Ohio,361.89495849609375,5290.3310546875,13.75048828125,17.98677635192871
United States,Michigan,1659.1270751953125,11026.6318359375,14.784406661987305,21.48177146911621
United States,South Dakota,255.90988159179688,1427.344970703125,39.55903244018555,29.897558212280273
United States,Arkansas,331.9172668457031,1125.1815185546875,42.93054962158203,23.65091323852539
United States,Delaware,277.61346435546875,981.6468505859375,46.862857818603516,12.160542488098145
United States,Mississippi,212.37779235839844,1853.1910400390625,23.849407196044922,14.470967292785645
United States,New Mexico,241.32257080078125,748.2174072265625,41.6097526550293,11.182639122009277
United States,North Dakota,382.72784423828125,647.0689086914062,105.54945373535156,27.187519073486328
United States,Wyoming,654.4331665039062,419.7131652832031,162.5037078857422,49.557186126708984
United States,Alaska,651.50390625,648.103271484375,234.7093505859375,151.43016052246094
United States,Maine,294.5244445800781,577.5258178710938,71.3201675415039,29.964813232421875
United States,Alabama,358.81402587890625,1901.208740234375,24.5440616607666,13.563364028930664
United States,Idaho,149.60284423828125,1015.5952758789062,18.2468318939209,37.86199188232422
United States,Montana,735.0370483398438,801.2813720703125,194.6880340576172,164.77305603027344
United States,Puerto Rico,271.1605224609375,336.2023010253906,38.86378479003906,9.263117790222168
United States,West Virginia,267.3944091796875,199.5341033935547,63.54537582397461,11.116808891296387
Uruguay,,775.557861328125,688.7511596679688,177.1648712158203,93.0733413696289
Uzbekistan,,4448.7236328125,5185.5693359375,148.74722290039062,29.71561050415039
Vanuatu,,481.6309814453125,795.4705810546875,34.28421401977539,10.422670364379883
Wallis and Futuna,,777.1357421875,869.796875,211.30630493164062,192.14480590820312
Yemen,,419.2238464355469,75.98030853271484,125.43669891357422,5.103264808654785
Zambia,,262.88787841796875,291.6961669921875,93.01106262207031,17.902021408081055
Zimbabwe,,825.6497192382812,891.0252075195312,233.05067443847656,37.32712936401367
