economy,time,EN.POP.DNST,GE.EST,IS.AIR.DPRT,NE.DAB.TOTL.CD,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.KD,SH.MED.PHYS.ZS,SH.UHC.NOPR.ZS,SH.XPD.CHEX.PC.CD,SH.XPD.EHEX.PC.CD,SH.XPD.GHED.PC.CD
ABW,YR2007,537.705555555556,1.24660122394562,,2941383240.22346,2677641340.78212,27665.2994801174,,,,,,
ABW,YR2008,544.422222222222,1.27092468738556,,3071932402.23464,2843024581.00559,29011.6390567532,,,,,,
ABW,YR2009,551.177777777778,1.49665641784668,,2853083798.88268,2553793296.08939,25740.7702303087,,,,,,
ABW,YR2010,557.45,1.24645340442657,,2822332402.23464,2453597206.70391,24452.5887394376,,,,,,
ABW,YR2011,562.711111111111,1.23643040657043,,3031845251.39665,2637859217.87709,26043.1563253011,,,,,,
ABW,YR2012,567.288888888889,1.24758815765381,,2888185474.86034,2615208379.88827,25611.1757666902,,,,,,
ABW,YR2013,571.555555555556,1.22132623195648,,2967754748.60335,2727849720.67039,26514.8689800777,,,,,,
ABW,YR2014,575.522222222222,0.887889862060547,,2967540223.46369,2790849720.67039,26940.2641144313,,,,,,
ABW,YR2015,579.205555555556,0.848053455352783,,2966694972.06704,2962907262.56983,28419.2645344661,27222.5741256177,,,,,
ABW,YR2016,582.633333333333,0.853404819965363,,2941831284.9162,2983635195.53073,28449.7129463044,,,,,,
ABW,YR2017,585.772222222222,0.875804901123047,2132.0,3052441340.78212,3092429050.27933,29329.0817465959,,,,,,
ABW,YR2018,588.677777777778,1.01347315311432,2276.0,3299379888.26816,3276184357.5419,30918.483584133,,,,,,
ABW,YR2019,591.344444444444,0.98783677816391,,3357575418.99441,3395798882.68156,31902.8098183195,,,,,,
ABW,YR2020,592.138888888889,1.07522451877594,,2904582625.69832,2558906303.88098,24008.1278217477,,,,,,
ABW,YR2021,591.872222222222,1.08404016494751,,3157820949.72067,3103184101.51354,29127.7593841909,,,,,,
AFG,YR1985,16.1173527743281,,6400.0,,,,,,,,,
AFG,YR1986,16.0195667172623,,5800.0,,,,,0.183,,,,
AFG,YR1987,15.8268678227006,,6000.0,,,,,0.179,,,,
AFG,YR1988,15.9199362188185,,5900.0,,,,,,,,,
AFG,YR1989,16.3641169526087,,5200.0,,,,,0.129,,,,
AFG,YR1990,16.3972770341751,,5300.0,,,,,0.109,,,,
AFG,YR1991,16.4745059258237,,5300.0,,,,,,,,,
AFG,YR1992,18.486474096561,,5300.0,,,,,,,,,
AFG,YR1993,21.4705855296444,,5100.0,,,,,0.143,,,,
AFG,YR1994,23.6964797694065,,7000.0,,,,,,,,,
AFG,YR1995,25.1735001456541,,7300.0,,,,,,,,,
AFG,YR1996,26.2278567376539,-2.17516660690308,7500.0,,,,,,,,,
AFG,YR1997,27.2738435827852,,4600.0,,,,,0.11,,,,
AFG,YR1998,28.3536973153642,-2.10229182243347,1900.0,,,,,,,,,
AFG,YR1999,29.5338254910078,,3400.0,,,,,,,,,
AFG,YR2000,29.963328887049,-2.17394614219666,3409.0,,3521418059.92345,180.188369406647,,,,,,
AFG,YR2001,30.1866396823207,,,,2813571753.87253,142.903364432457,,0.208,,,,
AFG,YR2002,32.1976235377091,-1.58768701553345,,,3825701438.99963,182.174038211707,,,,17.00758553,2.33564685,0.15160967
AFG,YR2003,34.7195467856431,-1.17576801776886,,,4520946818.54581,199.643226536823,,,,17.81492424,1.18475721,1.29700564
AFG,YR2004,36.112339205495,-0.945146262645721,,,5224896718.67782,221.830530720307,,,,21.42946434,2.12947526,1.18617905
