economy,country,time,EN.POP.DNST,EN.POP.SLUM.UR.ZS,GE.EST,IS.AIR.DPRT,NE.DAB.TOTL.CD,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.KD,SH.MED.PHYS.ZS,SH.UHC.NOPR.ZS,SH.XPD.CHEX.PC.CD,SH.XPD.EHEX.PC.CD,SH.XPD.GHED.PC.CD
IRL,Ireland,YR1991,0.002797727499848898,,,0.008159198639948724,0.001779044281384941,0.0019339372762147142,0.0584865793920459,,0.20265938501721478,,,,
IRL,Ireland,YR1992,0.002816931518933939,,,0.007594788054418291,0.0019387257503709798,0.0021720902757147776,0.06524221578626176,,0.23827614864062688,,,,
IRL,Ireland,YR1993,0.002831084313490893,,,0.006832338666947354,0.0017600506695359213,0.002036095643106524,0.0608524722671985,,0.24100676718508843,,,,
IRL,Ireland,YR1994,0.0028422955872902836,,,0.006961063888208681,0.0019317446787675792,0.0022178917439609463,0.06602500753370771,,0.2373263682773359,,,,
IRL,Ireland,YR1995,0.002856943662190655,,,0.008317629681501126,0.002290397471437426,0.002685655753175937,0.0795411469357738,0.17524340471601121,0.250385848272587,,,,
IRL,Ireland,YR1996,0.002879698777840549,,0.8371890832411435,0.009406843092173893,0.0025491770942202233,0.00294400469503755,0.08650546667885306,0.18632071183989998,0.250385848272587,,,,
IRL,Ireland,YR1997,0.0029087972917350236,,,0.010614879784010961,0.0027461328876847166,0.003218469923010944,0.0936266187009988,0.20152498731074153,0.25394752463492815,,,,
IRL,Ireland,YR1998,0.00293937529691177,,0.8507387100970851,0.01214968049904986,0.0029784533230857936,0.003503690967004129,0.10086619800657068,0.21799518329563894,0.2609521548141992,,,,
IRL,Ireland,YR1999,0.0029727829085377053,,,0.013139874508752375,0.003224757937360444,0.0038414206001698564,0.10934927736252213,0.23120887209594884,0.26985634572005224,0.07780979827089338,,,
IRL,Ireland,YR2000,0.003012776796268938,0.05460182232309432,0.8213860818594231,0.014403065006929873,0.003232471186003813,0.0038924478941763977,0.10933457788030676,0.2513994851155973,0.26534488899442005,,0.12516949164453525,,0.1540906191472391
IRL,Ireland,YR2001,0.0030612483912887648,,,0.015474454925427995,0.0034884550516617843,0.004247444027810914,0.11742153730597664,0.2583343830090317,0.28374688353318295,,0.14593145457923803,,0.18172892040295408
IRL,Ireland,YR2002,0.0031133988715517837,0.056621777867912684,0.8170600301110378,0.017529602592565564,0.004065077631070634,0.00499516331438735,0.13578483815328213,0.26394279234590545,0.2874272824409355,,0.1761342607207307,,0.22080687536367774
IRL,Ireland,YR2003,0.00316465244991085,,0.8017954785271053,0.022902791366815292,0.005317298713359977,0.006396444570172923,0.17106681985494257,0.27384585644154313,0.30749139261545766,,0.23311795083545234,,0.29127622713539253
IRL,Ireland,YR2004,0.003223182045750913,0.059651711185140247,0.8064184595042585,0.02587822534657038,0.006340730846326184,0.007550158802366704,0.19826358745891892,0.2784294335510635,0.3275555027899798,,0.2790071333327975,,0.3492171448489504
