country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
Indonesia,,2020-03-15,1.5,-19.891559161596557,1.0,0.2685490547814144,0.0276512263498992,2.2865293349896643,4.466085415032425,2.222360552335211,0.6517759767561488,20.773382373905665,0.935510823385206,0.6708616528089069
Iraq,,2020-03-15,0.4680065428417881,12.466043689638516,15.0,0.0201021427336979,0.0100001892222727,2.853064961495429,2.9130900248687435,0.0043030953703093,3.2056302979793045,187.6201182805217,80.59882303860658,0.4470445334689661
Guinea-Bissau,,2020-04-30,0.844434157705503,-153.98913678657073,3.0341342663293136,0.2707745742380994,0.01,0.581756083401417,2.572015877385189,0.0010488002243835,4.881423865540737,245.72182527183745,87.74123739716003,1.6030412147908488
Eritrea,,2020-06-16,0.2593046781611686,6.782117970821652,14.999936474286333,0.1425955150682135,0.0282643073155084,2.766913821782744,2.142024848678069,0.0011806118787578,2.16148468878024,155.51216065224497,88.61255178228485,0.2014188391292053
Equatorial Guinea,,2020-04-21,0.6996164634869904,-122.07859782255996,10.934093509364072,0.4126404874132461,0.0640325404937671,-0.2,1.775308218286536,2.5188563916729,0.6808745594124438,21.047558746907143,40.29560218939481,0.3090218078871072
Azerbaijan,,2020-03-28,0.4804306397788453,8.150265111975528,15.0,0.3001921616813899,0.1827116822092925,5.0,4.631115793896359,0.0015130230275342,3.143540956922437,55.12707203596273,15.94434558000628,0.7082667668770112
Angola,,2020-06-11,0.2936457895877583,45.81899263802496,3.562617248823172,0.1726184505377867,0.2376143346241949,2.9041662854962818,2.5062814461050755,0.0014554968808697,4.980321270165697,271.5229338071597,71.23514433069022,0.2003835417839499
Kuwait,,2020-03-15,0.2482756502572666,62.585247129529165,8.201062903528875,0.3943494640076677,0.1475307665513318,0.1610752033875189,2.303147456954906,1.2795729797490678,1.7169274068485163,139.55014805506735,67.2203796268955,0.4975547354965219
Fiji,,2021-04-26,0.2516128211299618,27.33635151355613,7.775947563926373,0.1550441116718346,0.2402447571792287,2.692371176171504,0.1967019661162712,0.001,2.414870198686058,47.15373405943114,84.79440939534449,0.236128419881342
Jamaica,,2020-04-16,0.2589427748397285,8.103208193839667,15.0,0.1874634982470692,0.2248750242533122,3.279533757205689,4.576171224798971,0.0619938961137522,4.368180903500637,206.2246780867597,75.50867828723636,0.3913357894219097
Gibraltar,,2020-04-08,1.4999538573094098,-80.94269105986191,1.1012305049668982,0.4427392026313036,0.0101208270688428,-0.1902929931880632,0.0772073154133189,0.6780627093435544,5.0,42.9328546556427,1.3854325566381989,0.2622681268979004
Latvia,,2020-03-22,0.9522277147993622,-86.68089983952504,4.009969547301929,0.0751144768793841,0.2090301147939974,4.863683408511085,4.617496938850239,0.0778276491464201,4.401021938341708,249.05047698282365,91.6653343878272,0.6706180707691821
Liechtenstein,,2020-08-23,1.4999163210313913,-27.253406966202917,1.004627437151486,0.0202166048139958,0.1907536645664808,4.545163651034963,0.001,0.0230851311404816,2.5899663431557727,252.23980426067865,99.98778362297077,0.2036984711956759
Israel,,2020-03-12,1.2077282077642926,-44.50351215925027,1.0,0.3820693146383553,0.2496983302627976,2.693245309392676,2.0424370216496763,1.7154026536076026,1.7058711160265143,4.796084891940269,4.699887408462603,0.3523825580018782
Isle of Man,,2020-04-05,0.1904533766441209,-200.0,15.0,0.02,0.0685963750711024,5.0,4.997122367078242,0.0116811107085243,4.981535697284287,25.85423264788733,0.7764274019433713,0.3712297242358381
Iceland,,2020-03-15,0.1305717912385035,-198.33510521673296,12.960535639160382,0.1178301340133556,0.2485969913504387,4.6614341073412575,4.999970786205466,0.5234950452701366,4.995829796981564,10.091388220539022,2.854609643253492,0.8971666713496278
