country,domain,delphi_insample_mae,delphi_outsample_mae,delphi_insample_mape,delphi_outsample_mape,selftune_insample_mae,selftune_outsample_mae,selftune_insample_mape,selftune_outsample_mape,guided_insample_mae,guided_outsample_mae,guided_insample_mape,guided_outsample_mape
Iceland,,179.74941399346517,211.06454414230728,26.57039560339016,11.636845232942772,428.1669616699219,661.3192749023438,0.4237931370735168,0.5738421678543091,316.1255187988281,167.44374084472656,0.251042753458023,0.1017077714204788
Algeria,,37.75467947300404,6663.59861165886,4.385916669101748,79.29706558422254,205.6259765625,2222.30908203125,0.1243463009595871,0.443449318408966,258.1513366699219,1490.4498291015625,0.1475183367729187,0.2545999586582184
Greenland,,5.893666753716018,127.8338447562024,2.5987686863285875,23.623128023809443,328.5862731933594,156.91775512695312,0.5609245896339417,0.2349117994308471,501.8279113769531,348.4886169433594,0.656229555606842,0.4052361249923706
Andorra,,36.4001517459692,32.20619040769378,8.015718890098483,4.238603627452728,124.75711059570312,37.2400016784668,0.2013920396566391,0.0467083156108856,406.82269287109375,340.7567749023437,0.4269338846206665,0.3095329403877258
Georgia,,11.565887347998885,46.12374801484666,3.6727260000369606,5.990817594902082,149.5659637451172,98.0554656982422,0.2941808402538299,0.1506632268428802,307.872802734375,59.69411087036133,0.4453864097595215,0.0739419609308242
Haiti,,40.79880517346837,620.6576430583277,5.964582700877275,9.613495491314534,261.7782287597656,803.86669921875,0.2108695805072784,0.1186808720231056,295.8475036621094,357.71051025390625,0.231184110045433,0.0577220134437084
Lesotho,,22.58233350336035,56.16906149125943,4.762364297479552,4.987761560132607,164.6293487548828,151.56849670410156,0.2504713833332062,0.150507315993309,339.7559509277344,95.18171691894533,0.3813143670558929,0.0895550996065139
Japan,,43.67726726233473,65778.67743774956,6.13136353163414,487.3046741970896,127.58255004882812,4954.79052734375,0.19310262799263,0.8933553099632263,168.1483917236328,4650.67138671875,0.2295083701610565,0.7912691831588745
Comoros,,14.92590738171606,585.4656242401812,7.269878547354206,173.5792353924788,353.2021484375,329.02655029296875,0.6068155765533447,0.5020716786384583,670.8424682617188,677.650390625,0.7397832870483398,0.674972653388977
Italy,,1393.1177161801154,16341.526565582812,23.507951511432523,8.447374499669031,9445.740234375,12807.96484375,0.1355268210172653,0.0702391192317009,12628.921875,18311.4453125,0.1644219160079956,0.0940132439136505
Bosnia and Herzegovina,,42.439076516853525,879.0528105377565,6.764036404879259,36.9767688485496,110.11815643310548,228.85877990722656,0.1529873162508011,0.1109373047947883,119.27818298339844,296.6973876953125,0.1703866869211197,0.1489553451538086
Mauritius,,17.49526231000277,28.147519499199216,5.76004451226214,8.438831966793702,254.59307861328125,291.6468505859375,0.4620009064674377,0.4664224982261657,701.1400146484375,775.2406005859375,0.6954569220542908,0.6991202235221863
India,,457.98997744996575,24758.499341877327,27.73364359426799,26.84924877219107,1237.93896484375,19805.69921875,0.2363305389881134,0.3155336081981659,1818.82421875,19637.734375,0.2793176174163818,0.3108417391777038
Mali,,8.793867494302573,331.9190111875669,2.097420623015063,18.11203914746342,99.989013671875,532.9698486328125,0.2023786157369613,0.5099398493766785,146.76365661621094,475.3484191894531,0.2536776959896087,0.4286675155162811
Kazakhstan,,52.46033720738944,2007.599952430009,3.92326829334038,20.10763067037981,165.94357299804688,2322.11767578125,0.1356260478496551,0.3616456091403961,197.6215667724609,2362.73974609375,0.1552873402833938,0.371228814125061
Maldives,,89.40876917915405,447.9956851230195,13.275170070026544,20.10240794390097,89.6253433227539,119.26140594482422,0.1060645878314971,0.0562488436698913,77.99345397949219,125.4621353149414,0.1090183407068252,0.0596723891794681
Ghana,,64.78475023282253,223617.4223735391,5.983980847585619,2901.104539473253,230.5870819091797,934.5537109375,0.2741248905658722,0.1228082180023193,261.6449890136719,492.07427978515625,0.2938681840896606,0.0735812038183212
Australia,Northern Territory,0.5492944440536097,3.5185773685112944,0.5272446725493957,3.149782784567519,447.3146362304688,521.6571044921875,0.7842222452163696,0.8256469368934631,758.5866088867188,862.0266723632812,0.85511714220047,0.8866889476776123
Nauru,,581.8699160250804,315.2073585891972,27.025289485638424,6.933917496797008,1582.0645751953125,2064.583251953125,0.6922101974487305,0.8246954679489136,1194.3077392578125,1598.77587890625,0.4421039819717407,0.5384432673454285
Libya,,18.81071389852224,1922.2325552185043,3.721439155304088,55.51187080813471,105.11634826660156,1195.2308349609375,0.2039301544427871,0.7406559586524963,145.0675048828125,876.642822265625,0.2477937340736389,0.4321016073226928
Montserrat,,3.5635748371438987,4.756538200304102,2.3334778520373973,2.8800596188788363,443.0270690917969,515.2135620117188,0.7221742272377014,0.7564959526062012,937.4038696289062,1049.1697998046875,0.8395673036575317,0.8635075688362122
Liberia,,3.0075775782430427,151894.40998490687,1.430354361761715,21646.676552996712,349.1462097167969,141.6201934814453,0.6087350249290466,0.2195596098899841,595.75537109375,378.7413330078125,0.7210197448730469,0.4122360050678253
Martinique,,5.288094120016523,14.7626370585794,3.3065693909624763,7.455877850748113,403.23345947265625,450.92333984375,0.690770149230957,0.696598470211029,799.8864135742188,884.0709228515625,0.8102695941925049,0.8182281255722046
Mozambique,,13.307914182144897,258.6933521901086,4.643075908609908,21.110006528246167,201.0946502685547,339.40557861328125,0.384740263223648,0.4377686977386474,362.8860168457031,270.57427978515625,0.5049934387207031,0.3231023848056793
Guinea,,20.213165969905983,375.4610783509728,3.20260742066441,9.294968391201614,146.2967071533203,657.1466064453125,0.2094387412071228,0.2168167829513549,168.92030334472656,768.2501220703125,0.2269406169652938,0.2645009756088257
Mongolia,,7.422714210354634,935.8106548472456,4.267961636510992,329.4687923563968,555.4954223632812,597.2252197265625,0.7311989665031433,0.7059605121612549,979.1773071289062,1060.2437744140625,0.8219063878059387,0.8099660277366638
Belarus,,416.7217248310022,18619.551817014537,21.268660754182093,41.540746912211375,392.51861572265625,10389.904296875,0.1114765927195549,0.3580962419509887,429.5476989746094,8509.8818359375,0.1243707835674285,0.2739571034908294
New Zealand,,16.75736376988428,10.281609358068954,2.613607883469008,0.8930149200187664,60.50223159790039,89.84474182128906,0.0671694278717041,0.0724386721849441,213.59332275390625,316.3636779785156,0.2839416861534118,0.3792788684368133
